gameID, patch, winningTeam, BlueChampion1, BlueChampion2, BlueChampion3, BlueChampion4, BlueChampion5, RedChampion1, RedChampion2, RedChampion3, RedChampion4, RedChampion5
EUW1_6811537851,14.3.558.8314,Red,Riven,Graves,Lux,Zeri,Maokai,Yorick,Briar,Ryze,Smolder,Pyke
EUW1_6811501792,14.3.558.8314,Red,Gwen,MasterYi,Irelia,Ezreal,TwistedFate,Yone,XinZhao,Azir,Jinx,Milio
EUW1_6811453766,14.3.558.8314,Red,Aatrox,LeeSin,Cassiopeia,Jhin,Thresh,Riven,Zac,Akshan,Draven,Nautilus
EUW1_6811386954,14.3.558.8314,Red,Mordekaiser,Kayn,Malzahar,Senna,Alistar,Teemo,MonkeyKing,Singed,Lucian,Braum
EUW1_6811312181,14.3.558.8314,Red,Sion,Maokai,Azir,Aphelios,Renata,Quinn,Diana,Twitch,Lucian,Milio
EUW1_6811202161,14.3.558.8314,Red,Camille,Gragas,Yasuo,Karthus,Rakan,Aatrox,Udyr,TwistedFate,Varus,Maokai
EUW1_6811128197,14.3.558.8314,Red,Quinn,Kayn,Hwei,Singed,Janna,Tryndamere,Maokai,Smolder,Lucian,Nami
EUW1_6810966979,14.3.558.8314,Red,Darius,FiddleSticks,Vi,Smolder,Maokai,Quinn,Diana,Twitch,Nami,Shaco
EUW1_6811424779,14.3.558.8314,Red,Riven,Viego,Ahri,Kalista,Senna,Gnar,Skarner,Yasuo,Smolder,Bard
EUW1_6808804957,14.3.558.8314,Red,Rumble,Ekko,Zed,Kaisa,Senna,Gnar,Graves,Cassiopeia,Smolder,Janna
EUW1_6808709797,14.3.558.8314,Red,Jayce,Shaco,Akali,Aphelios,Ashe,Gnar,Ivern,Ryze,Smolder,Bard
EUW1_6808652519,14.3.558.8314,Red,Kayle,Lillia,Zac,Kalista,Bard,Gnar,Viego,Taliyah,Draven,Karma
EUW1_6808586275,14.3.558.8314,Red,Gnar,Kindred,Lissandra,Samira,Renata,Darius,Belveth,Syndra,Varus,Pyke
EUW1_6810988728,14.3.558.8314,Red,Teemo,Anivia,Twitch,Brand,Galio,Tristana,Zac,Evelynn,Shaco,Sejuani
EUW1_6810946494,14.3.558.8314,Red,Brand,Fizz,Gragas,Sion,Sejuani,Ahri,Blitzcrank,Yuumi,Orianna,Hecarim
EUW1_6810895477,14.3.558.8314,Red,Rell,Sejuani,Hecarim,Yuumi,Zilean,Briar,Belveth,Lux,Diana,Kaisa
EUW1_6810837910,14.3.558.8314,Red,Velkoz,Chogath,Mordekaiser,Ahri,Jinx,Rammus,Yuumi,Leona,Sejuani,Malphite
EUW1_6810724471,14.3.558.8314,Red,Zed,Thresh,Nautilus,Smolder,Cassiopeia,Pyke,Gangplank,Sona,Seraphine,Vayne
EUW1_6811336361,14.3.558.8314,Red,Rumble,Lillia,Qiyana,Twitch,Rakan,Ornn,Shaco,Vex,XinZhao,Senna
EUW1_6811260191,14.3.558.8314,Red,Camille,Viego,TwistedFate,Varus,Janna,Jax,Taliyah,Jayce,Caitlyn,Hwei
EUW1_6811158121,14.3.558.8314,Red,Udyr,Kayn,Neeko,Ezreal,Hwei,Sion,Taliyah,Yone,Senna,Rell
EUW1_6811112478,14.3.558.8314,Red,Illaoi,RekSai,Tristana,Hwei,Thresh,Urgot,Kindred,Azir,Smolder,Morgana
EUW1_6811040358,14.3.558.8314,Red,TwistedFate,Karthus,Irelia,Jinx,Blitzcrank,Kled,Warwick,Orianna,Jhin,Maokai
EUW1_6811290023,14.3.558.8314,Red,Darius,Kayn,Yasuo,Ziggs,Maokai,Irelia,Gragas,Sylas,TwistedFate,Rakan
EUW1_6811035761,14.3.558.8314,Red,Aatrox,Viego,Karma,Twitch,Rakan,Malphite,XinZhao,TwistedFate,Samira,Rell
EUW1_6810887605,14.3.558.8314,Red,Rumble,Graves,Chogath,Samira,Amumu,Riven,Elise,Akali,Ezreal,Senna
EUW1_6810817444,14.3.558.8314,Red,Rumble,Rell,Syndra,Senna,Bard,Darius,Zac,Hwei,Draven,Janna
EUW1_6810747375,14.3.558.8314,Red,Maokai,Kindred,Neeko,Kalista,Blitzcrank,Darius,Hecarim,Vladimir,Nilah,Senna
EUW1_6811298773,14.3.558.8314,Red,Gangplank,Ivern,Cassiopeia,Jhin,Bard,Yone,Qiyana,Taliyah,Kalista,Belveth
EUW1_6811196479,14.3.558.8314,Red,Aatrox,FiddleSticks,Gangplank,Ziggs,Bard,Urgot,Brand,Qiyana,Varus,Xerath
EUW1_6802465146,14.2.556.3141,Red,Katarina,Graves,Lissandra,Senna,Maokai,Sion,Shaco,Hwei,Kaisa,Thresh
EUW1_6792641325,14.2.556.3141,Red,Rumble,Lillia,Akshan,Aphelios,Sona,Teemo,Brand,Draven,TwistedFate,Bard
EUW1_6792517839,14.2.556.3141,Red,Aatrox,Kayn,Katarina,Vayne,Milio,Poppy,Viego,Talon,Seraphine,Varus
EUW1_6810061496,14.3.558.8314,Red,Talon,Nidalee,Karma,Ezreal,Maokai,Rumble,Graves,Janna,Zeri,Quinn
EUW1_6810050853,14.3.558.8314,Red,Kled,Nidalee,Sion,Jhin,Hwei,Mordekaiser,Viego,Pantheon,Jinx,Janna
