teamBlue,teamRed,patch,winner,Blue_champion_1,Red_champion_1,Blue_champion_2,Red_champion_2,Blue_champion_3,Red_champion_3,Blue_champion_4,Red_champion_4,Blue_champion_5,Red_champion_5
FunPlus Phoenix,Oh My God,14.01,Blue,K'Sante,Gwen,Maokai,Xin Zhao,Azir,Orianna,Zeri,Xayah,Lulu,Rakan
Bilibili Gaming,Royal Never Give Up,14.01,Blue,Udyr,Rumble,Kindred,Vi,Neeko,Azir,Lucian,Varus,Milio,Rell
Royal Never Give Up,Bilibili Gaming,14.01,Red,Rumble,K'Sante,Brand,Lee Sin,Tristana,Akali,Aphelios,Senna,Milio,Tahm Kench
Invictus Gaming,Ninjas in Pyjamas,14.01,Red,Jax,K'Sante,Nocturne,Maokai,Neeko,Corki,Varus,Senna,Renata Glasc,Tahm Kench
Ninjas in Pyjamas,Invictus Gaming,14.01,Blue,K'Sante,Jax,Vi,Rell,Azir,Orianna,Xayah,Varus,Rakan,Lissandra
Ultra Prime,LGD Gaming,14.01,Blue,K'Sante,Poppy,Maokai,Brand,Akali,Corki,Lucian,Senna,Milio,Tahm Kench
Ultra Prime,LGD Gaming,14.01,Red,Aatrox,K'Sante,Trundle,Maokai,Corki,Akali,Lucian,Aphelios,Nami,Milio
LGD Gaming,Ultra Prime,14.01,Blue,Aatrox,K'Sante,Rell,Maokai,Neeko,Corki,Lucian,Aphelios,Nami,Milio
Top Esports,EDward Gaming,14.01,Blue,Udyr,K'Sante,Xin Zhao,Lee Sin,Akali,Corki,Senna,Aphelios,Tahm Kench,Rell
EDward Gaming,Top Esports,14.01,Red,Udyr,Rumble,Xin Zhao,Maokai,Orianna,Tristana,Aphelios,Lucian,Milio,Nami
ThunderTalk Gaming,Weibo Gaming,14.01,Red,Udyr,K'Sante,Wukong,Nocturne,Orianna,Neeko,Lucian,Aphelios,Nami,Milio
Weibo Gaming,ThunderTalk Gaming,14.01,Blue,Aatrox,Rumble,Jarvan IV,Nocturne,Azir,Orianna,Lucian,Aphelios,Nami,Milio
Rare Atom,JD Gaming,14.01,Red,Udyr,Aatrox,Xin Zhao,Rell,Taliyah,Azir,Aphelios,Lucian,Milio,Nami
JD Gaming,Rare Atom,14.01,Blue,Udyr,K'Sante,Jarvan IV,Maokai,Azir,Akali,Lucian,Aphelios,Nami,Milio
Oh My God,LNG Esports,14.01,Red,K'Sante,Aatrox,Maokai,Vi,Azir,Corki,Kalista,Xayah,Nautilus,Rakan
LNG Esports,Oh My God,14.01,Blue,Rumble,K'Sante,Poppy,Nocturne,Azir,Akali,Xayah,Ezreal,Rakan,Karma
FunPlus Phoenix,Team WE,14.01,Red,K'Sante,Darius,Sejuani,Maokai,Azir,Corki,Xayah,Varus,Rakan,Nautilus
Team WE,FunPlus Phoenix,14.01,Red,Rumble,K'Sante,Rell,Lee Sin,Jayce,Azir,Jhin,Varus,Ashe,Pyke
Team WE,FunPlus Phoenix,14.01,Blue,Darius,K'Sante,Vi,Diana,Azir,Yone,Varus,Ezreal,Nautilus,Bard
Bilibili Gaming,Anyone's Legend,14.01,Blue,Udyr,Rumble,Lee Sin,Vi,Syndra,Tristana,Lucian,Zeri,Milio,Lulu
Bilibili Gaming,Anyone's Legend,14.01,Blue,Udyr,Rumble,Jarvan IV,Xin Zhao,Neeko,Orianna,Lucian,Zeri,Milio,Lulu
Royal Never Give Up,Ultra Prime,14.01,Blue,Poppy,Jax,Vi,Graves,Corki,Azir,Varus,Rammus,Ashe,Yuumi
Ultra Prime,Royal Never Give Up,14.01,Red,Aatrox,Jax,Brand,Sejuani,Akali,LeBlanc,Kalista,Senna,Rell,Tahm Kench
LGD Gaming,EDward Gaming,14.01,Blue,K'Sante,Jax,Maokai,Sejuani,LeBlanc,Azir,Kalista,Varus,Renata Glasc,Rakan
LGD Gaming,EDward Gaming,14.01,Blue,Aatrox,K'Sante,Rell,Trundle,Azir,Akali,Varus,Kalista,Renata Glasc,Neeko
Rare Atom,Invictus Gaming,14.01,Red,Udyr,K'Sante,Vi,Maokai,Corki,Azir,Senna,Tristana,Tahm Kench,Rakan
Invictus Gaming,Rare Atom,14.01,Blue,K'Sante,Poppy,Sejuani,Rell,Azir,Corki,Lucian,Kalista,Milio,Renata Glasc
Ninjas in Pyjamas,JD Gaming,14.01,Red,Lillia,Udyr,Vi,Rell,Azir,Taliyah,Caitlyn,Lucian,Milio,Nami
JD Gaming,Ninjas in Pyjamas,14.01,Blue,K'Sante,Aatrox,Rell,Poppy,Akali,Orianna,Lucian,Caitlyn,Nami,Milio
ThunderTalk Gaming,Oh My God,14.01,Red,K'Sante,Udyr,Poppy,Lee Sin,Azir,Neeko,Lucian,Aphelios,Nami,Milio
Oh My God,ThunderTalk Gaming,14.01,Blue,Udyr,K'Sante,Poppy,Vi,Neeko,Azir,Tristana,Xayah,Renata Glasc,Rakan
LNG Esports,Weibo Gaming,14.01,Red,Udyr,Rumble,Poppy,Rell,Akali,Orianna,Varus,Draven,Ashe,Blitzcrank
Weibo Gaming,LNG Esports,14.01,Red,Udyr,K'Sante,Lee Sin,Brand,Orianna,Tristana,Senna,Varus,Tahm Kench,Milio
LNG Esports,Weibo Gaming,14.01,Blue,Gnar,K'Sante,Maokai,Brand,Azir,Corki,Senna,Kai'Sa,Tahm Kench,Rell
Ninjas in Pyjamas,Team WE,14.01,Red,Udyr,Darius,Sejuani,Dr. Mundo,Taliyah,Azir,Draven,Miss Fortune,Ashe,Nautilus
Ninjas in Pyjamas,Team WE,14.01,Blue,K'Sante,Gnar,Sejuani,Maokai,Sylas,Azir,Xayah,Zeri,Rakan,Milio
Ninjas in Pyjamas,Team WE,14.01,Blue,K'Sante,Gnar,Sejuani,Dr. Mundo,Taliyah,Corki,Xayah,Miss Fortune,Rakan,Maokai
Ultra Prime,FunPlus Phoenix,14.01,Blue,K'Sante,Jax,Sejuani,Maokai,Azir,Corki,Tristana,Nilah,Milio,Rakan
FunPlus Phoenix,Ultra Prime,14.01,Blue,Gnar,K'Sante,Xin Zhao,Sejuani,Azir,Akali,Lucian,Zeri,Milio,Lulu
Ultra Prime,FunPlus Phoenix,14.01,Blue,Aatrox,Fiora,Maokai,Sejuani,Corki,Akali,Lucian,Aphelios,Nami,Milio
Anyone's Legend,LGD Gaming,14.01,Red,Udyr,K'Sante,Sejuani,Maokai,Azir,Tristana,Varus,Ezreal,Tahm Kench,Rakan
LGD Gaming,Anyone's Legend,14.01,Red,Aatrox,K'Sante,Maokai,Rell,Tristana,Azir,Varus,Senna,Milio,Tahm Kench
Anyone's Legend,LGD Gaming,14.01,Blue,K'Sante,Rumble,Rell,Maokai,Azir,Tristana,Ezreal,Kalista,Tahm Kench,Nautilus
Top Esports,Rare Atom,14.01,Blue,Rumble,Aatrox,Rell,Maokai,Tristana,Azir,Lucian,Aphelios,Nami,Milio
Rare Atom,Top Esports,14.01,Red,Rumble,Kennen,Lee Sin,Poppy,LeBlanc,Tristana,Varus,Senna,Rell,Tahm Kench
Invictus Gaming,ThunderTalk Gaming,14.01,Blue,K'Sante,Aatrox,Maokai,Rell,Azir,Taliyah,Lucian,Aphelios,Nami,Milio
ThunderTalk Gaming,Invictus Gaming,14.01,Blue,Aatrox,Yone,Maokai,Jarvan IV,Orianna,Taliyah,Ezreal,Draven,Ashe,Varus
Invictus Gaming,ThunderTalk Gaming,14.01,Blue,Yone,K'Sante,Rell,Maokai,Azir,Corki,Lucian,Senna,Nami,Tahm Kench
Bilibili Gaming,EDward Gaming,14.01,Blue,Darius,Udyr,Rell,Vi,Azir,Corki,Senna,Xayah,Nautilus,Rakan
Bilibili Gaming,EDward Gaming,14.01,Blue,Jax,K'Sante,Kindred,Nocturne,Neeko,Orianna,Senna,Xayah,Tahm Kench,Rakan
Oh My God,Ninjas in Pyjamas,14.01,Red,Rumble,Udyr,Xin Zhao,Maokai,Akali,Taliyah,Samira,Senna,Rakan,Tahm Kench
Ninjas in Pyjamas,Oh My God,14.01,Blue,Udyr,Rumble,Sejuani,Jarvan IV,Taliyah,Akali,Senna,Samira,Tahm Kench,Rakan
JD Gaming,LNG Esports,14.01,Red,Rumble,Ornn,Rell,Xin Zhao,Tristana,Azir,Senna,Xayah,Tahm Kench,Rakan
LNG Esports,JD Gaming,14.01,Red,K'Sante,Aatrox,Vi,Xin Zhao,Taliyah,Azir,Lucian,Varus,Milio,Nautilus
JD Gaming,LNG Esports,14.01,Blue,Aatrox,K'Sante,Xin Zhao,Rell,Taliyah,Azir,Varus,Draven,Ashe,Pyke
Royal Never Give Up,Weibo Gaming,14.01,Red,Jax,K'Sante,Sejuani,Maokai,Azir,LeBlanc,Varus,Kalista,Renata Glasc,Zyra
Weibo Gaming,Royal Never Give Up,14.01,Blue,K'Sante,Gnar,Xin Zhao,Maokai,Orianna,Azir,Lucian,Xayah,Nami,Rakan
Team WE,LGD Gaming,14.02,Blue,K'Sante,Aatrox,Xin Zhao,Rell,Hwei,Azir,Varus,Ezreal,Rakan,Bard
LGD Gaming,Team WE,14.02,Blue,Aatrox,Yone,Lillia,Maokai,Azir,Corki,Kalista,Varus,Renata Glasc,Rakan
Team WE,LGD Gaming,14.02,Blue,Aatrox,Yone,Poppy,Rell,Azir,Akali,Varus,Kalista,Nautilus,Renata Glasc
Ultra Prime,Anyone's Legend,14.02,Blue,Aatrox,Udyr,Sejuani,Maokai,Akali,Tristana,Kalista,Senna,Renata Glasc,Tahm Kench
Anyone's Legend,Ultra Prime,14.02,Blue,K'Sante,Gnar,Poppy,Sejuani,Corki,Hwei,Senna,Xayah,Tahm Kench,Rakan
Ultra Prime,Anyone's Legend,14.02,Red,K'Sante,Gnar,Lee Sin,Jarvan IV,Karma,Azir,Xayah,Senna,Rakan,Tahm Kench
EDward Gaming,FunPlus Phoenix,14.02,Red,Aatrox,K'Sante,Rell,Maokai,Azir,Tristana,Xayah,Varus,Rakan,Rumble
FunPlus Phoenix,EDward Gaming,14.02,Red,K'Sante,Jax,Lee Sin,Brand,Azir,Tristana,Kai'Sa,Varus,Rell,Nautilus
EDward Gaming,FunPlus Phoenix,14.02,Red,K'Sante,Fiora,Rell,Sejuani,Akali,Azir,Ezreal,Caitlyn,Neeko,Karma
LNG Esports,Bilibili Gaming,14.02,Red,Aatrox,K'Sante,Maokai,Lee Sin,Corki,Karma,Caitlyn,Lucian,Milio,Nami
Bilibili Gaming,LNG Esports,14.02,Blue,K'Sante,Rumble,Jax,Xin Zhao,Karma,Orianna,Xayah,Varus,Rakan,Nautilus
Invictus Gaming,Royal Never Give Up,14.02,Red,K'Sante,Udyr,Rell,Jarvan IV,Azir,Akali,Kai'Sa,Varus,Ashe,Leona
Royal Never Give Up,Invictus Gaming,14.02,Red,Udyr,Jax,Xin Zhao,Vi,Orianna,Neeko,Ezreal,Senna,Ashe,Tahm Kench
Invictus Gaming,Royal Never Give Up,14.02,Blue,K'Sante,Aatrox,Rell,Vi,Azir,Neeko,Kalista,Varus,Renata Glasc,Blitzcrank
Weibo Gaming,Top Esports,14.02,Red,K'Sante,Gnar,Lee Sin,Poppy,LeBlanc,Akali,Draven,Ezreal,Nautilus,Ashe
Top Esports,Weibo Gaming,14.02,Blue,Rumble,Udyr,Rell,Viego,Tristana,Neeko,Sivir,Varus,Ashe,Maokai
Oh My God Academy,Bilibili Gaming Junior,14.01,Red,Udyr,K'Sante,Vi,Xin Zhao,Ahri,Neeko,Lucian,Draven,Nami,Milio
Ji Jie Hao (集结号),Anyone's Legend.Young,14.01,Blue,K'Sante,Udyr,Xin Zhao,Lee Sin,Azir,Corki,Varus,Kalista,Renata Glasc,Senna
EDG Youth Team,Rare Atom Period,14.01,Blue,Aatrox,Gwen,Jax,Maokai,LeBlanc,Azir,Kai'Sa,Senna,Rell,Tahm Kench
FunPlus Phoenix Blaze,ThunderTalk Gaming Young,14.01,Blue,Rumble,Udyr,Xin Zhao,Vi,Orianna,Azir,Varus,Aphelios,Rell,Nautilus
Ultra Prime Academy,Top Esports Challenger,14.01,Red,Gragas,K'Sante,Graves,Lee Sin,Akali,Azir,Kalista,Senna,Renata Glasc,Tahm Kench
Joy Dream,Team WE Academy,14.01,Blue,K'Sante,Jax,Sejuani,Zac,Azir,Corki,Varus,Senna,Renata Glasc,Tahm Kench
LGD Gaming Young Team,LNG Academy,14.01,Red,Aatrox,Jax,Jarvan IV,Maokai,Corki,LeBlanc,Lucian,Aphelios,Nami,Milio
Weibo Gaming Youth Team,Royal Club,14.01,Blue,K'Sante,Renekton,Maokai,Rell,Jayce,Corki,Kalista,Senna,Neeko,Tahm Kench
Ultra Prime Academy,Royal Club,14.01,Red,Gragas,K'Sante,Nocturne,Jax,Orianna,Akali,Varus,Xayah,Neeko,Rakan
Team WE Academy,unknown team,14.01,Red,Udyr,K'Sante,Jarvan IV,Xin Zhao,Orianna,Neeko,Kalista,Lucian,Renata Glasc,Milio
LGD Gaming Young Team,Rare Atom Period,14.01,Blue,Jax,Aatrox,Rell,Xin Zhao,Corki,Ziggs,Kalista,Draven,Senna,Renata Glasc
ThunderTalk Gaming Young,Anyone's Legend.Young,14.01,Red,K'Sante,Jax,Xin Zhao,Maokai,Corki,Syndra,Kalista,Draven,Senna,Renata Glasc
Weibo Gaming Youth Team,Top Esports Challenger,14.01,Blue,Aatrox,K'Sante,Maokai,Vi,Azir,Neeko,Lucian,Aphelios,Milio,Lulu
EDG Youth Team,Joy Dream,14.01,Red,K'Sante,Udyr,Xin Zhao,Nocturne,LeBlanc,Orianna,Varus,Draven,Tahm Kench,Renata Glasc
Ji Jie Hao (集结号),LNG Academy,14.01,Blue,Aatrox,Gwen,Rell,Xin Zhao,Orianna,Neeko,Lucian,Aphelios,Nautilus,Milio
FunPlus Phoenix Blaze,Bilibili Gaming Junior,14.01,Blue,Udyr,K'Sante,Viego,Lee Sin,Orianna,LeBlanc,Kalista,Varus,Rell,Alistar
FunPlus Phoenix Blaze,Joy Dream,14.01,Red,Rumble,Udyr,Nocturne,Wukong,LeBlanc,Orianna,Kai'Sa,Varus,Alistar,Rakan
Joy Dream,FunPlus Phoenix Blaze,14.01,Red,Rumble,K'Sante,Maokai,Xin Zhao,Tristana,Ahri,Samira,Draven,Nautilus,Sett
FunPlus Phoenix Blaze,Joy Dream,14.01,Blue,Aatrox,K'Sante,Sejuani,Trundle,Neeko,Sylas,Varus,Lucian,Nautilus,Milio
Rare Atom Period,Ultra Prime Academy,14.01,Blue,K'Sante,Xayah,Graves,Hecarim,Orianna,Yone,Kalista,Vayne,Ashe,Rakan
Ultra Prime Academy,Rare Atom Period,14.01,Red,Lucian,Fiora,Lee Sin,Maokai,Syndra,Corki,Jax,Draven,Milio,Caitlyn
Ji Jie Hao (集结号),Weibo Gaming Youth Team,14.01,Blue,K'Sante,Aatrox,Rell,Poppy,Corki,Orianna,Aphelios,Senna,Rakan,Tahm Kench
Weibo Gaming Youth Team,Ji Jie Hao (集结号),14.01,Red,Udyr,Jax,Vi,Maokai,Akali,Tristana,Draven,Varus,Ashe,Tahm Kench
ThunderTalk Gaming Young,Team WE Academy,14.01,Blue,Udyr,K'Sante,Xin Zhao,Vi,Viktor,Corki,Lucian,Aphelios,Nami,Milio
Team WE Academy,ThunderTalk Gaming Young,14.01,Blue,Gwen,K'Sante,Poppy,Brand,Azir,Corki,Kalista,Varus,Renata Glasc,Blitzcrank
ThunderTalk Gaming Young,Team WE Academy,14.01,Blue,Rumble,Udyr,Rell,Lee Sin,Jayce,Neeko,Jhin,Varus,Ashe,Pyke
LGD Gaming Young Team,Oh My God Academy,14.01,Blue,K'Sante,Udyr,Jax,Lee Sin,Neeko,Orianna,Lucian,Aphelios,Nami,Milio
EDG Youth Team,Anyone's Legend.Young,14.01,Blue,Aatrox,K'Sante,Jax,Lee Sin,Akali,Orianna,Varus,Aphelios,Nautilus,Alistar
Bilibili Gaming Junior,Top Esports Challenger,14.01,Blue,Jax,K'Sante,Xin Zhao,Maokai,Azir,Tristana,Xayah,Varus,Rakan,Rell
LNG Academy,Royal Club,14.01,Blue,Rumble,Jax,Sejuani,Maokai,Tristana,Corki,Miss Fortune,Varus,Nautilus,Braum
Top Esports Challenger,Rare Atom Period,14.01,Blue,K'Sante,Aatrox,Bel'Veth,Maokai,Corki,Azir,Varus,Kalista,Rell,Caitlyn
Rare Atom Period,Top Esports Challenger,14.01,Red,Jax,Gragas,Nocturne,Lee Sin,Orianna,Azir,Varus,Senna,Milio,Tahm Kench
Weibo Gaming Youth Team,LNG Academy,14.01,Blue,Rumble,K'Sante,Lee Sin,Maokai,Orianna,Tristana,Draven,Varus,Renata Glasc,Nautilus
LNG Academy,Weibo Gaming Youth Team,14.01,Red,Aatrox,K'Sante,Poppy,Maokai,Orianna,Azir,Lucian,Kalista,Milio,Nautilus
Anyone's Legend.Young,Oh My God Academy,14.01,Blue,Jax,K'Sante,Xin Zhao,Nocturne,Corki,Orianna,Lucian,Zeri,Milio,Lulu
Oh My God Academy,Anyone's Legend.Young,14.01,Red,Jax,Aatrox,Diana,Vi,Yasuo,Akali,Syndra,Varus,Ashe,Nautilus
EDG Youth Team,Bilibili Gaming Junior,14.01,Red,Aatrox,Kled,Sejuani,Maokai,Akali,Azir,Varus,Lucian,Nautilus,Rell
Bilibili Gaming Junior,EDG Youth Team,14.01,Red,K'Sante,Fiora,Xin Zhao,Viego,Ahri,Syndra,Varus,Kalista,Nautilus,Ashe
Bilibili Gaming Junior,EDG Youth Team,14.01,Red,Udyr,K'Sante,Lee Sin,Xin Zhao,Akali,Ahri,Aphelios,Senna,Rakan,Tahm Kench
Royal Club,ThunderTalk Gaming Young,14.01,Blue,Rumble,Jax,Maokai,Xin Zhao,Tristana,Azir,Aphelios,Lucian,Milio,Nami
ThunderTalk Gaming Young,Royal Club,14.01,Red,Rumble,Udyr,Maokai,Lee Sin,Tristana,Neeko,Varus,Xayah,Rell,Rakan
Joy Dream,LGD Gaming Young Team,14.01,Blue,Udyr,Gnar,Xin Zhao,Rell,Azir,Corki,Draven,Aphelios,Ashe,Alistar
LGD Gaming Young Team,Joy Dream,14.01,Red,Aatrox,Fiora,Maokai,Nocturne,Azir,Akali,Kai'Sa,Jhin,Nautilus,Alistar
Top Esports Challenger,Anyone's Legend.Young,14.01,Blue,Darius,K'Sante,Sejuani,Lee Sin,Azir,LeBlanc,Varus,Xayah,Nautilus,Rakan
Anyone's Legend.Young,Top Esports Challenger,14.01,Blue,Udyr,K'Sante,Xin Zhao,Bel'Veth,Jayce,Akali,Varus,Kalista,Ashe,Rell
Anyone's Legend.Young,Top Esports Challenger,14.01,Blue,Aatrox,Yasuo,Vi,Diana,Orianna,Tristana,Kai'Sa,Aphelios,Nautilus,Tahm Kench
LNG Academy,Royal Club,14.01,Red,K'Sante,Rumble,Maokai,Lee Sin,Tristana,Neeko,Zeri,Kai'Sa,Rakan,Nautilus
LNG Academy,Royal Club,14.01,Blue,Rumble,Udyr,Nocturne,Vi,LeBlanc,Vex,Xayah,Aphelios,Rell,Thresh
Royal Club,LNG Academy,14.01,Red,Jax,Aatrox,Sejuani,Lee Sin,LeBlanc,Orianna,Draven,Lucian,Milio,Nami
LGD Gaming Young Team,Bilibili Gaming Junior,14.01,Blue,K'Sante,Udyr,Jax,Lee Sin,Syndra,Orianna,Kalista,Varus,Senna,Renata Glasc
Bilibili Gaming Junior,LGD Gaming Young Team,14.01,Red,Rumble,Aatrox,Xin Zhao,Maokai,Akali,Taliyah,Xayah,Kai'Sa,Rell,Nautilus
Invictus Gaming Young,LNG Academy,14.01,Blue,Udyr,Aatrox,Nocturne,Vi,Akali,Azir,Lucian,Varus,Milio,Nautilus
LNG Academy,Invictus Gaming Young,14.01,Red,K'Sante,Gwen,Sejuani,Maokai,Tristana,Jayce,Kai'Sa,Senna,Rell,Tahm Kench
MAX,LGD Gaming Young Team,14.01,Blue,K'Sante,Aatrox,Sejuani,Maokai,Corki,Azir,Senna,Kalista,Tahm Kench,Neeko
LGD Gaming Young Team,MAX,14.01,Blue,Jax,Aatrox,Poppy,Rell,Taliyah,LeBlanc,Varus,Xayah,Renata Glasc,Rakan
MAX,LGD Gaming Young Team,14.01,Blue,Rumble,Ornn,Maokai,Lee Sin,Tristana,LeBlanc,Kalista,Senna,Renata Glasc,Tahm Kench
MiaoJing (妙竞),Anyone's Legend.Young,14.01,Blue,Rumble,Ornn,Sejuani,Vi,Jayce,Orianna,Lucian,Varus,Milio,Nautilus
